date,cum_cases,new_cases,country
20200215,0,0,Algeria
20200216,0,0,Algeria
20200217,0,0,Algeria
20200218,0,0,Algeria
20200219,0,0,Algeria
20200220,0,0,Algeria
20200221,0,0,Algeria
20200222,0,0,Algeria
20200223,0,0,Algeria
20200224,0,0,Algeria
20200225,1,1,Algeria
20200226,1,0,Algeria
20200227,1,0,Algeria
20200228,1,0,Algeria
20200229,1,0,Algeria
20200301,3,2,Algeria
20200302,5,2,Algeria
20200303,8,3,Algeria
20200304,17,9,Algeria
20200305,17,0,Algeria
20200306,17,0,Algeria
20200307,19,2,Algeria
20200308,20,1,Algeria
20200309,20,0,Algeria
20200310,20,0,Algeria
20200311,20,0,Algeria
20200312,26,6,Algeria
20200313,26,0,Algeria
20200314,39,13,Algeria
20200315,54,15,Algeria
20200316,60,6,Algeria
20200317,61,1,Algeria
20200318,75,14,Algeria
20200319,90,15,Algeria
20200320,94,4,Algeria
20200321,139,45,Algeria
20200322,201,62,Algeria
20200323,230,29,Algeria
20200324,264,34,Algeria
20200325,302,38,Algeria
20200326,367,65,Algeria
20200327,409,42,Algeria
20200328,454,45,Algeria
20200329,511,57,Algeria
20200215,15,15,Australia
20200216,15,0,Australia
20200217,15,0,Australia
20200218,15,0,Australia
20200219,15,0,Australia
20200220,17,2,Australia
20200221,19,2,Australia
20200222,21,2,Australia
20200223,22,1,Australia
20200224,22,0,Australia
20200225,22,0,Australia
20200226,23,1,Australia
20200227,23,0,Australia
20200228,25,2,Australia
20200229,25,0,Australia
20200301,29,4,Australia
20200302,33,4,Australia
20200303,39,6,Australia
20200304,53,14,Australia
20200305,60,7,Australia
20200306,63,3,Australia
20200307,74,11,Australia
20200308,83,9,Australia
20200309,93,10,Australia
20200310,116,23,Australia
20200311,128,12,Australia
20200312,156,28,Australia
20200313,199,43,Australia
20200314,248,49,Australia
20200315,300,52,Australia
20200316,401,101,Australia
20200317,455,54,Australia
20200318,596,141,Australia
20200319,756,160,Australia
20200320,928,172,Australia
20200321,1072,144,Australia
20200322,1609,537,Australia
20200323,1887,278,Australia
20200324,2317,430,Australia
20200325,2676,359,Australia
20200326,3050,374,Australia
20200327,3378,328,Australia
20200328,3635,257,Australia
20200329,4163,528,Australia
20200215,0,0,Austria
20200216,0,0,Austria
20200217,0,0,Austria
20200218,0,0,Austria
