,date,cum_cases,new_cases,country
0,20200215,0,0,Algeria
1,20200216,0,0,Algeria
2,20200217,0,0,Algeria
3,20200218,0,0,Algeria
4,20200219,0,0,Algeria
5,20200220,0,0,Algeria
6,20200221,0,0,Algeria
7,20200222,0,0,Algeria
8,20200223,0,0,Algeria
9,20200224,0,0,Algeria
10,20200225,1,1,Algeria
11,20200226,1,0,Algeria
12,20200227,1,0,Algeria
13,20200228,1,0,Algeria
14,20200229,1,0,Algeria
15,20200301,3,2,Algeria
16,20200302,5,2,Algeria
17,20200303,8,3,Algeria
18,20200304,17,9,Algeria
19,20200305,17,0,Algeria
20,20200306,17,0,Algeria
21,20200307,19,2,Algeria
22,20200308,20,1,Algeria
23,20200309,20,0,Algeria
24,20200310,20,0,Algeria
25,20200311,20,0,Algeria
26,20200312,26,6,Algeria
27,20200313,26,0,Algeria
28,20200314,39,13,Algeria
29,20200315,54,15,Algeria
30,20200316,60,6,Algeria
31,20200317,61,1,Algeria
32,20200318,75,14,Algeria
33,20200319,90,15,Algeria
34,20200320,94,4,Algeria
35,20200321,139,45,Algeria
36,20200322,201,62,Algeria
37,20200323,230,29,Algeria
38,20200324,264,34,Algeria
39,20200325,302,38,Algeria
40,20200326,367,65,Algeria
41,20200327,409,42,Algeria
42,20200328,454,45,Algeria
43,20200329,511,57,Algeria
44,20200215,15,15,Australia
45,20200216,15,0,Australia
46,20200217,15,0,Australia
47,20200218,15,0,Australia
48,20200219,15,0,Australia
49,20200220,17,2,Australia
50,20200221,19,2,Australia
51,20200222,21,2,Australia
52,20200223,22,1,Australia
53,20200224,22,0,Australia
54,20200225,22,0,Australia
55,20200226,23,1,Australia
56,20200227,23,0,Australia
57,20200228,25,2,Australia
58,20200229,25,0,Australia
59,20200301,29,4,Australia
60,20200302,33,4,Australia
61,20200303,39,6,Australia
62,20200304,53,14,Australia
63,20200305,60,7,Australia
64,20200306,63,3,Australia
65,20200307,74,11,Australia
66,20200308,83,9,Australia
67,20200309,93,10,Australia
68,20200310,116,23,Australia
69,20200311,128,12,Australia
70,20200312,156,28,Australia
71,20200313,199,43,Australia
72,20200314,248,49,Australia
73,20200315,300,52,Australia
74,20200316,401,101,Australia
75,20200317,455,54,Australia
76,20200318,596,141,Australia
77,20200319,756,160,Australia
78,20200320,928,172,Australia
79,20200321,1072,144,Australia
80,20200322,1609,537,Australia
81,20200323,1887,278,Australia
82,20200324,2317,430,Australia
83,20200325,2676,359,Australia
84,20200326,3050,374,Australia
85,20200327,3378,328,Australia
86,20200328,3635,257,Australia
87,20200329,4163,528,Australia
88,20200215,0,0,Austria
89,20200216,0,0,Austria
90,20200217,0,0,Austria
91,20200218,0,0,Austria
92,20200219,0,0,Austria
93,20200220,0,0,Austria
94,20200221,0,0,Austria
95,20200222,0,0,Austria
96,20200223,0,0,Austria
97,20200224,0,0,Austria
98,20200225,2,2,Austria
99,20200226,2,0,Austria
100,20200227,5,3,Austria
101,20200228,7,2,Austria
102,20200229,10,3,Austria
103,20200301,14,4,Austria
104,20200302,18,4,Austria
105,20200303,24,6,Austria
106,20200304,29,5,Austria
107,20200305,43,14,Austria
108,20200306,66,23,Austria
109,20200307,81,15,Austria
110,20200308,104,23,Austria
111,20200309,131,27,Austria
112,20200310,182,51,Austria
113,20200311,246,64,Austria
114,20200312,361,115,Austria
115,20200313,504,143,Austria
116,20200314,655,151,Austria
117,20200315,860,205,Austria
118,20200316,1018,158,Austria
119,20200317,1332,314,Austria
120,20200318,1646,314,Austria
121,20200319,2179,533,Austria
122,20200320,2649,470,Austria
123,20200321,2992,343,Austria
124,20200322,3582,590,Austria
125,20200323,4474,892,Austria
126,20200324,5283,809,Austria
127,20200325,5588,305,Austria
128,20200326,6909,1321,Austria
129,20200327,7697,788,Austria
130,20200328,8271,574,Austria
131,20200329,8788,517,Austria
132,20200215,1,1,Belgium
133,20200216,1,0,Belgium
134,20200217,1,0,Belgium
135,20200218,1,0,Belgium
136,20200219,1,0,Belgium
137,20200220,1,0,Belgium
138,20200221,1,0,Belgium
139,20200222,1,0,Belgium
140,20200223,1,0,Belgium
141,20200224,1,0,Belgium
142,20200225,1,0,Belgium
143,20200226,1,0,Belgium
144,20200227,1,0,Belgium
145,20200228,1,0,Belgium
146,20200229,1,0,Belgium
147,20200301,2,1,Belgium
148,20200302,8,6,Belgium
149,20200303,15,7,Belgium
150,20200304,23,8,Belgium
151,20200305,50,27,Belgium
152,20200306,109,59,Belgium
153,20200307,169,60,Belgium
154,20200308,200,31,Belgium
155,20200309,239,39,Belgium
156,20200310,267,28,Belgium
157,20200311,314,47,Belgium
158,20200312,399,85,Belgium
159,20200313,559,160,Belgium
160,20200314,689,130,Belgium
161,20200315,886,197,Belgium
162,20200316,1058,172,Belgium
163,20200317,1243,185,Belgium
164,20200318,1486,243,Belgium
165,20200319,1795,309,Belgium
166,20200320,2257,462,Belgium
167,20200321,2815,558,Belgium
168,20200322,3401,586,Belgium
169,20200323,3743,342,Belgium
170,20200324,4269,526,Belgium
171,20200325,4937,668,Belgium
172,20200326,6235,1298,Belgium
173,20200327,7284,1049,Belgium
174,20200328,9134,1850,Belgium
175,20200329,10836,1702,Belgium
176,20200215,0,0,Brazil
177,20200216,0,0,Brazil
178,20200217,0,0,Brazil
179,20200218,0,0,Brazil
180,20200219,0,0,Brazil
181,20200220,0,0,Brazil
182,20200221,0,0,Brazil
183,20200222,0,0,Brazil
184,20200223,0,0,Brazil
185,20200224,0,0,Brazil
186,20200225,1,1,Brazil
187,20200226,1,0,Brazil
188,20200227,1,0,Brazil
189,20200228,1,0,Brazil
190,20200229,2,1,Brazil
191,20200301,2,0,Brazil
192,20200302,2,0,Brazil
193,20200303,2,0,Brazil
194,20200304,3,1,Brazil
195,20200305,8,5,Brazil
196,20200306,13,5,Brazil
197,20200307,19,6,Brazil
198,20200308,25,6,Brazil
199,20200309,25,0,Brazil
200,20200310,34,9,Brazil
201,20200311,52,18,Brazil
202,20200312,77,25,Brazil
203,20200313,151,74,Brazil
204,20200314,151,0,Brazil
205,20200315,200,49,Brazil
206,20200316,234,34,Brazil
207,20200317,346,112,Brazil
208,20200318,529,183,Brazil
209,20200319,640,111,Brazil
210,20200320,970,330,Brazil
211,20200321,1178,208,Brazil
212,20200322,1546,368,Brazil
213,20200323,1924,378,Brazil
214,20200324,2247,323,Brazil
215,20200325,2554,307,Brazil
216,20200326,2985,431,Brazil
217,20200327,3417,432,Brazil
218,20200328,3904,487,Brazil
219,20200329,4256,352,Brazil
220,20200215,8,8,Canada
221,20200216,8,0,Canada
222,20200217,8,0,Canada
223,20200218,8,0,Canada
224,20200219,8,0,Canada
225,20200220,8,0,Canada
226,20200221,9,1,Canada
227,20200222,9,0,Canada
228,20200223,10,1,Canada
229,20200224,11,1,Canada
230,20200225,11,0,Canada
231,20200226,12,1,Canada
232,20200227,14,2,Canada
233,20200228,15,1,Canada
234,20200229,20,5,Canada
235,20200301,24,4,Canada
236,20200302,27,3,Canada
237,20200303,30,3,Canada
238,20200304,34,4,Canada
239,20200305,37,3,Canada
240,20200306,54,17,Canada
