date,cum_cases,cum_deaths,new_cases,new_deaths,country
20200215,0,0,0,0,Algeria
20200216,0,0,0,0,Algeria
20200217,0,0,0,0,Algeria
20200218,0,0,0,0,Algeria
20200219,0,0,0,0,Algeria
20200220,0,0,0,0,Algeria
20200221,0,0,0,0,Algeria
20200222,0,0,0,0,Algeria
20200223,0,0,0,0,Algeria
20200224,0,0,0,0,Algeria
20200225,1,0,1,0,Algeria
20200226,1,0,0,0,Algeria
20200227,1,0,0,0,Algeria
20200228,1,0,0,0,Algeria
20200229,1,0,0,0,Algeria
20200301,3,0,2,0,Algeria
20200302,5,0,2,0,Algeria
20200303,8,0,3,0,Algeria
20200304,17,0,9,0,Algeria
20200305,17,0,0,0,Algeria
20200306,17,0,0,0,Algeria
20200307,19,0,2,0,Algeria
20200308,20,0,1,0,Algeria
20200309,20,0,0,0,Algeria
20200310,20,0,0,0,Algeria
20200311,20,0,0,0,Algeria
20200312,26,2,6,2,Algeria
20200313,26,2,0,0,Algeria
20200314,39,3,13,1,Algeria
20200315,54,4,15,1,Algeria
20200316,60,4,6,0,Algeria
20200317,61,5,1,1,Algeria
20200318,75,7,14,2,Algeria
20200319,90,9,15,2,Algeria
20200320,94,11,4,2,Algeria
20200321,139,15,45,4,Algeria
20200322,201,17,62,2,Algeria
20200323,230,17,29,0,Algeria
20200324,264,19,34,2,Algeria
20200325,302,21,38,2,Algeria
20200326,367,25,65,4,Algeria
20200327,409,26,42,1,Algeria
20200328,454,29,45,3,Algeria
20200329,511,31,57,2,Algeria
20200330,584,35,73,4,Algeria
20200331,716,44,132,9,Algeria
20200401,847,58,131,14,Algeria
20200402,986,86,139,28,Algeria
20200403,1171,105,185,19,Algeria
20200404,1251,130,80,25,Algeria
20200405,1320,152,69,22,Algeria
20200406,1423,173,103,21,Algeria
20200407,1468,193,45,20,Algeria
20200408,1572,205,104,12,Algeria
20200409,1666,235,94,30,Algeria
20200410,1761,256,95,21,Algeria
20200411,1825,275,64,19,Algeria
20200412,1914,293,89,18,Algeria
20200413,1983,313,69,20,Algeria
20200414,2070,326,87,13,Algeria
20200415,2160,336,90,10,Algeria
20200416,2268,348,108,12,Algeria
20200417,2418,364,150,16,Algeria
20200418,2534,367,116,3,Algeria
20200419,2629,375,95,8,Algeria
20200420,2718,384,89,9,Algeria
20200421,2811,392,93,8,Algeria
20200422,2910,402,99,10,Algeria
20200423,3007,407,97,5,Algeria
20200424,3127,415,120,8,Algeria
20200425,3256,419,129,4,Algeria
20200426,3382,425,126,6,Algeria
20200427,3517,432,135,7,Algeria
20200428,3649,437,132,5,Algeria
20200429,3848,444,199,7,Algeria
20200430,4006,450,158,6,Algeria
20200501,4154,453,148,3,Algeria
20200502,4295,459,141,6,Algeria
20200503,4474,463,179,4,Algeria
20200504,4648,465,174,2,Algeria
20200505,4838,470,190,5,Algeria
20200506,4997,476,159,6,Algeria
20200507,5182,483,185,7,Algeria
20200508,5369,488,187,5,Algeria
20200509,5558,494,189,6,Algeria
20200510,5723,502,165,8,Algeria
20200511,5891,507,168,5,Algeria
20200512,6067,515,176,8,Algeria
20200513,6253,522,186,7,Algeria
20200514,6442,529,189,7,Algeria
20200515,6629,536,187,7,Algeria
20200516,6821,542,192,6,Algeria
20200517,7019,548,198,6,Algeria
20200518,7201,555,182,7,Algeria
20200519,7377,561,176,6,Algeria
20200520,7542,568,165,7,Algeria
20200521,7728,575,186,7,Algeria
20200522,7918,582,190,7,Algeria
20200523,8113,592,195,10,Algeria
20200524,8306,600,193,8,Algeria
20200525,8503,609,197,9,Algeria
20200526,8697,617,194,8,Algeria
20200527,8857,623,160,6,Algeria
20200528,8997,630,140,7,Algeria
20200529,9134,638,137,8,Algeria
20200530,9267,646,133,8,Algeria
20200531,9394,653,127,7,Algeria
20200601,9513,661,119,8,Algeria
20200602,9626,667,113,6,Algeria
20200603,9733,673,107,6,Algeria
20200604,9831,681,98,8,Algeria
20200605,9935,690,104,9,Algeria
20200606,10050,698,115,8,Algeria
20200607,10154,707,104,9,Algeria
20200608,10265,715,111,8,Algeria
20200609,10382,724,117,9,Algeria
20200610,10484,732,102,8,Algeria
20200611,10589,741,105,9,Algeria
20200612,10698,751,109,10,Algeria
20200215,15,0,15,0,Australia
20200216,15,0,0,0,Australia
20200217,15,0,0,0,Australia
20200218,15,0,0,0,Australia
20200219,15,0,0,0,Australia
20200220,17,0,2,0,Australia
20200221,19,0,2,0,Australia
20200222,21,0,2,0,Australia
20200223,22,0,1,0,Australia
20200224,22,0,0,0,Australia
20200225,22,0,0,0,Australia
20200226,23,0,1,0,Australia
20200227,23,0,0,0,Australia
20200228,25,0,2,0,Australia
20200229,25,0,0,0,Australia
20200301,29,1,4,1,Australia
20200302,33,1,4,0,Australia
20200303,39,1,6,0,Australia
20200304,53,2,14,1,Australia
20200305,60,2,7,0,Australia
20200306,63,2,3,0,Australia
20200307,74,3,11,1,Australia
20200308,83,3,9,0,Australia
20200309,93,3,10,0,Australia
20200310,116,3,23,0,Australia
20200311,128,3,12,0,Australia
20200312,156,3,28,0,Australia
20200313,199,3,43,0,Australia
20200314,248,3,49,0,Australia
20200315,300,5,52,2,Australia
20200316,401,5,101,0,Australia
20200317,455,5,54,0,Australia
20200318,596,6,141,1,Australia
20200319,756,7,160,1,Australia
20200320,928,7,172,0,Australia
20200321,1072,7,144,0,Australia
20200322,1609,7,537,0,Australia
20200323,1887,7,278,0,Australia
20200324,2317,8,430,1,Australia
20200325,2676,11,359,3,Australia
20200326,3050,13,374,2,Australia
20200327,3378,13,328,0,Australia
20200328,3635,14,257,1,Australia
20200329,4163,17,528,3,Australia
20200330,4460,19,297,2,Australia
20200331,4763,20,303,1,Australia
20200401,5048,23,285,3,Australia
20200402,5314,25,266,2,Australia
20200403,5454,28,140,3,Australia
20200404,5550,30,96,2,Australia
20200405,5750,37,200,7,Australia
20200406,5895,45,145,8,Australia
20200407,5988,49,93,4,Australia
20200408,6052,50,64,1,Australia
